,Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
46,1606207937,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,10362,4209,26,22,1606207937236;1606207937237;1606207937237;1606207937239;1606207937249;1606207937271;1606207937293;1606207937294;1606207937308;1606207937310;1606207937310;1606207937324;1606207937399;1606207937411;1606207937412;1606207937413;1606207937484;1606207937485;1606207937489;1606207937497;1606207937498;1606207937500;1606207937500;1606207937504;1606207937504;1606207937615;1606207937615;1606207937616;1606207937616;1606207937616;1606207937616;1606207937618;1606207937619;1606207937621;1606207937621;1606207937658;1606207937713;1606207937719;1606207937754;1606207937761;1606207937764;1606207937949;1606207937949;1606207937969;1606207937969;1606207937986;1606207937986;1606207937986;,179;157;165;126;165;126;127;127;231;588;317;118;118;118;106;623;118;106;623;106;252;157;205;1366;1021;106;252;179;106;184;106;439;106;157;144;126;178;175;126;106;106;1366;134;126;126;1366;1366;146;,2;2;2;1;1;2;1;1;1;2;2;1;1;2;1;1;2;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;1;1;2;2;1;1;1;
47,1606207938,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,1411,3032,7,12,1606207938001;1606207938002;1606207938007;1606207938008;1606207938008;1606207938008;1606207938049;1606207938166;1606207938167;1606207938167;1606207938444;1606207938444;1606207938445;1606207938445;1606207938445;1606207938445;1606207938445;1606207938453;1606207938477;,371;371;126;126;126;165;126;486;179;126;515;534;292;126;192;126;165;165;126;,1;1;2;2;2;2;1;2;2;1;2;2;2;1;2;1;2;1;2;
48,1606207939,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,164,106,1,1,1606207939134;1606207939215;,164;106;,1;2;
49,1606207941,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,56285,17349,82,53,1606207941232;1606207941264;1606207941268;1606207941268;1606207941283;1606207941283;1606207941283;1606207941283;1606207941285;1606207941287;1606207941290;1606207941311;1606207941312;1606207941312;1606207941313;1606207941313;1606207941332;1606207941333;1606207941336;1606207941342;1606207941342;1606207941345;1606207941364;1606207941364;1606207941364;1606207941370;1606207941394;1606207941414;1606207941414;1606207941434;1606207941436;1606207941477;1606207941485;1606207941488;1606207941497;1606207941504;1606207941538;1606207941550;1606207941550;1606207941558;1606207941574;1606207941575;1606207941577;1606207941577;1606207941579;1606207941585;1606207941597;1606207941608;1606207941608;1606207941609;1606207941609;1606207941610;1606207941610;1606207941613;1606207941614;1606207941615;1606207941626;1606207941627;1606207941639;1606207941640;1606207941640;1606207941640;1606207941640;1606207941641;1606207941641;1606207941642;1606207941643;1606207941645;1606207941645;1606207941645;1606207941645;1606207941646;1606207941649;1606207941651;1606207941654;1606207941654;1606207941654;1606207941654;1606207941669;1606207941669;1606207941669;1606207941670;1606207941670;1606207941681;1606207941681;1606207941683;1606207941684;1606207941684;1606207941684;1606207941686;1606207941687;1606207941687;1606207941687;1606207941687;1606207941688;1606207941688;1606207941688;1606207941688;1606207941688;1606207941742;1606207941753;1606207941787;1606207941787;1606207941795;1606207941795;1606207941795;1606207941795;1606207941797;1606207941819;1606207941819;1606207941820;1606207941820;1606207941820;1606207941828;1606207941831;1606207941833;1606207941833;1606207941833;1606207941833;1606207941833;1606207941864;1606207941864;1606207941865;1606207941978;1606207941978;1606207941978;1606207941978;1606207941979;1606207941979;1606207941984;1606207941985;1606207941985;1606207941985;1606207941985;1606207941985;,324;126;138;138;1366;1366;1366;875;606;592;138;138;126;126;126;748;126;126;390;206;218;417;413;196;126;353;157;1366;245;126;161;126;107;819;161;118;324;133;133;126;449;497;138;138;126;138;138;138;138;126;126;700;700;138;126;700;138;126;267;1366;1366;1366;855;126;126;177;700;1366;1366;1366;861;267;284;177;1366;1366;1366;415;1366;1366;191;126;138;267;126;126;126;452;177;1366;1366;1366;1366;1041;1366;1366;1366;1366;477;1366;1366;126;126;138;126;126;126;700;126;126;126;138;138;267;177;1366;1366;1366;1366;695;126;126;126;1366;484;160;126;126;126;126;1366;1366;1366;1366;613;,2;1;1;1;1;1;1;1;2;2;1;2;1;2;2;1;2;2;2;1;1;1;2;2;1;2;1;1;1;2;2;1;1;2;1;2;2;1;1;2;2;2;1;1;1;1;1;2;2;1;1;1;1;2;1;1;2;1;2;2;2;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;
50,1606207942,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,6497,2906,9,10,1606207942028;1606207942028;1606207942474;1606207942474;1606207942475;1606207942476;1606207942476;1606207942477;1606207942481;1606207942482;1606207942482;1606207942482;1606207942482;1606207942482;1606207942512;1606207942513;1606207942938;1606207942983;1606207942983;,126;126;1366;482;126;160;126;126;1366;1366;1366;1366;493;126;126;126;162;106;162;,2;2;2;2;1;2;2;1;1;1;1;1;1;1;2;2;1;2;2;
51,1606207943,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,40730,38471,55,48,1606207943002;1606207943024;1606207943253;1606207943257;1606207943257;1606207943257;1606207943264;1606207943284;1606207943577;1606207943577;1606207943578;1606207943579;1606207943579;1606207943579;1606207943579;1606207943579;1606207943579;1606207943579;1606207943580;1606207943580;1606207943580;1606207943581;1606207943581;1606207943597;1606207943597;1606207943597;1606207943597;1606207943597;1606207943626;1606207943631;1606207943713;1606207943714;1606207943715;1606207943728;1606207943728;1606207943728;1606207943728;1606207943728;1606207943755;1606207943758;1606207943759;1606207943796;1606207943847;1606207943882;1606207943882;1606207943882;1606207943886;1606207943886;1606207943886;1606207943886;1606207943886;1606207943886;1606207943886;1606207943886;1606207943887;1606207943887;1606207943887;1606207943887;1606207943894;1606207943894;1606207943894;1606207943894;1606207943895;1606207943897;1606207943897;1606207943898;1606207943898;1606207943898;1606207943898;1606207943899;1606207943902;1606207943902;1606207943902;1606207943902;1606207943903;1606207943908;1606207943908;1606207943925;1606207943926;1606207943926;1606207943926;1606207943926;1606207943926;1606207943926;1606207943926;1606207943928;1606207943930;1606207943935;1606207943947;1606207943954;1606207943955;1606207943957;1606207943959;1606207943967;1606207943974;1606207943974;1606207943983;1606207943984;1606207943984;1606207943985;1606207943985;1606207943985;1606207943986;,371;106;178;157;165;126;165;126;1366;1366;126;1366;1366;1366;1366;1366;1366;1366;704;126;126;126;126;1366;1366;1366;1366;165;126;126;1366;1182;126;1366;1366;1366;1366;165;179;126;126;126;750;1366;1070;126;1366;1076;1366;1366;838;1366;1179;1366;126;126;126;138;1366;1366;1366;1366;165;1366;138;1366;1366;1366;1366;165;1366;1366;1366;1366;287;1366;138;1366;1366;1366;1366;1366;451;126;126;126;126;126;644;613;126;355;126;126;126;165;126;1366;1182;1366;126;1186;126;,1;1;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;2;2;2;1;1;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;
52,1606207944,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,689,0,2,0,1606207944001;1606207944008;,312;377;,1;1;
53,1606207944,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,53825,87070,96,102,1606207944011;1606207944011;1606207944012;1606207944012;1606207944012;1606207944012;1606207944012;1606207944013;1606207944016;1606207944016;1606207944017;1606207944017;1606207944017;1606207944017;1606207944025;1606207944038;1606207944038;1606207944039;1606207944039;1606207944048;1606207944049;1606207944049;1606207944049;1606207944049;1606207944068;1606207944068;1606207944079;1606207944079;1606207944081;1606207944081;1606207944082;1606207944082;1606207944082;1606207944083;1606207944083;1606207944083;1606207944084;1606207944093;1606207944093;1606207944093;1606207944094;1606207944099;1606207944099;1606207944103;1606207944104;1606207944105;1606207944106;1606207944106;1606207944106;1606207944129;1606207944130;1606207944146;1606207944180;1606207944196;1606207944197;1606207944203;1606207944219;1606207944222;1606207944225;1606207944225;1606207944225;1606207944225;1606207944234;1606207944234;1606207944235;1606207944256;1606207944256;1606207944257;1606207944257;1606207944258;1606207944258;1606207944390;1606207944390;1606207944391;1606207944391;1606207944391;1606207944391;1606207944391;1606207944391;1606207944391;1606207944391;1606207944391;1606207944392;1606207944392;1606207944392;1606207944392;1606207944411;1606207944411;1606207944412;1606207944412;1606207944412;1606207944413;1606207944413;1606207944415;1606207944415;1606207944415;1606207944416;1606207944416;1606207944416;1606207944420;1606207944420;1606207944421;1606207944421;1606207944421;1606207944421;1606207944421;1606207944421;1606207944421;1606207944422;1606207944422;1606207944424;1606207944426;1606207944426;1606207944426;1606207944426;1606207944427;1606207944427;1606207944480;1606207944480;1606207944480;1606207944481;1606207944481;1606207944508;1606207944508;1606207944552;1606207944569;1606207944574;1606207944574;1606207944589;1606207944589;1606207944589;1606207944651;1606207944684;1606207944684;1606207944685;1606207944685;1606207944685;1606207944685;1606207944686;1606207944727;1606207944749;1606207944749;1606207944749;1606207944749;1606207944749;1606207944749;1606207944750;1606207944751;1606207944756;1606207944772;1606207944772;1606207944774;1606207944774;1606207944774;1606207944774;1606207944774;1606207944775;1606207944775;1606207944775;1606207944775;1606207944775;1606207944776;1606207944776;1606207944779;1606207944780;1606207944780;1606207944802;1606207944820;1606207944820;1606207944820;1606207944820;1606207944820;1606207944820;1606207944845;1606207944854;1606207944896;1606207944897;1606207944897;1606207944897;1606207944925;1606207944925;1606207944937;1606207944940;1606207944940;1606207944941;1606207944941;1606207944948;1606207944948;1606207944956;1606207944956;1606207944965;1606207944972;1606207944974;1606207944977;1606207944977;1606207944980;1606207944981;1606207944988;,493;126;450;357;395;165;126;126;492;297;126;270;187;126;165;1366;1366;1366;1323;1366;1366;1366;1123;126;126;126;126;126;1366;1366;833;126;143;485;178;143;126;1366;1366;1366;1317;596;340;118;118;1366;1366;126;530;126;126;126;750;107;107;107;118;118;1366;988;118;126;1366;1070;126;118;118;106;106;623;623;1366;1366;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;1366;1366;1366;1366;1309;106;106;1366;1366;1366;1366;106;106;1309;199;1366;1366;1366;1366;1366;1366;126;126;126;199;1366;1366;1366;755;126;126;1366;1366;1366;1366;996;126;126;126;157;909;107;1366;1366;984;118;1366;1366;126;1366;1366;1269;126;126;106;1366;1366;1366;1366;637;106;532;833;1366;280;1366;1366;126;1366;1366;126;1366;1366;1366;1366;126;126;280;126;126;199;126;1366;1366;1366;1366;643;750;126;1366;1366;126;1064;106;532;126;1366;1366;126;1070;157;118;127;127;106;391;403;1362;204;712;126;106;,2;1;2;2;2;2;1;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;2;2;1;1;1;1;1;1;2;2;1;1;2;2;1;2;2;2;1;1;1;1;1;2;2;2;2;2;1;2;2;1;2;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;1;1;2;1;2;2;2;2;2;2;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;2;2;2;1;2;2;2;1;1;2;1;1;1;1;1;2;2;1;1;1;2;2;1;2;2;1;2;2;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;1;2;2;1;2;2;2;1;1;1;2;2;1;1;1;1;1;
54,1606207945,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,13793,16780,39,35,1606207945004;1606207945023;1606207945023;1606207945095;1606207945095;1606207945096;1606207945096;1606207945096;1606207945096;1606207945103;1606207945122;1606207945179;1606207945179;1606207945211;1606207945211;1606207945265;1606207945275;1606207945277;1606207945277;1606207945277;1606207945284;1606207945284;1606207945284;1606207945285;1606207945325;1606207945328;1606207945335;1606207945341;1606207945342;1606207945343;1606207945408;1606207945409;1606207945409;1606207945409;1606207945415;1606207945415;1606207945419;1606207945478;1606207945479;1606207945479;1606207945479;1606207945479;1606207945481;1606207945481;1606207945482;1606207945482;1606207945487;1606207945552;1606207945553;1606207945554;1606207945593;1606207945622;1606207945623;1606207945623;1606207945623;1606207945627;1606207945627;1606207945631;1606207945631;1606207945631;1606207945692;1606207945692;1606207945693;1606207945693;1606207945693;1606207945695;1606207945700;1606207945701;1606207945701;1606207945806;1606207945879;1606207945879;1606207945970;1606207945970;,126;341;177;192;270;126;172;165;126;165;126;137;137;137;137;507;339;118;1362;204;1366;1366;500;126;126;468;339;118;106;623;1366;1366;1352;106;264;205;668;106;157;175;106;106;144;144;398;106;118;118;106;623;106;1366;1366;1352;106;264;205;1366;937;342;106;157;106;175;106;144;144;148;106;106;1362;204;1366;997;,2;2;2;2;2;1;2;2;1;1;2;1;1;1;1;2;2;1;1;1;2;2;2;1;1;2;2;2;1;1;2;2;2;1;1;1;1;2;2;2;1;1;1;2;2;1;1;2;1;1;2;2;2;2;1;1;1;1;1;1;2;2;1;2;1;1;2;2;1;2;1;1;1;1;
55,1606207945,AnonIP1,AnonPort1,AnonIP2,AnonPort2,17,3506,0,10,0,1606207945738;1606207945742;1606207945745;1606207945748;1606207945752;1606207945755;1606207945759;1606207945762;1606207945766;1606207945769;,328;384;312;304;348;324;378;376;380;372;,1;1;1;1;1;1;1;1;1;1;
